YEAR,MONTH,MATERIAL,STYLE_DESCRIPTION,Color,DCMap,DCDesc,atsstock,RELEASED_QTY,ASSIGN_QTY,BALANCE_QTY,link,StyleDesc,SAMPLE,COMMENTS,LOWEST_TARGET,HIGHEST_TARGET,SAP_PRICE,APPROVED_PRICE,LIST,CATAGORY,SEASONYEAR,SSN,BRAND,CUSTOMERGRP,SEGMENT,FITFAMILY,MATGRPDESC,RETAILGRP2,SEQNO
2025,01,106MJR024,TIER2 LUKE SLIM TAPERED,DK_WORN_KANS,9089,MOW,303,303,303,0,,LUKE SLIM TAPERED,NY,,9.25,$14.00,13.49,8.50,Reg Size,Denim - Long,2021,FA,LEE,Mens Apparel,Lee Tier II,Slim Fit,5-Pocket Jean,Mens Regular,001
2025,01,102090102,5PKT SLIM STRAIGHT,PAVEMENT,9089,MOW,976,976,0,976,,5PKT SLIM STRAIGHT,NY,,9.25,$14.00,11.70,8.50,Reg Size,Denim - Long,2020,FA,LEE,Mens Apparel,Lee Tier III,Slim Fit,5-Pocket Jean,Mens Regular,001
2025,01,112332518,Daren Regular Straight T2,BLUE_SKY_LIGHT,9089,MOW,214,214,214,0,https://giscdn.kontoorbrands.com/112332518_FF01_RGFF_PRD.jpg,Daren Regular Straight ,,denim,8.50,$13.00,17.84,7.00,Reg Size,Non-Denim - Long,2023,SP,LEE,Mens Apparel,Lee Tier II,Regular Fit,5-Pocket Pant,Mens Regular,001
2025,01,112332523,Asher Loose Fit Jean T2,ICED,9089,MOW,222,222,222,0,https://giscdn.kontoorbrands.com/112332523_FF01_RGFF_PRD.jpg,Asher Loose Fit Jean ,,denim,8.50,$13.00,17.84,7.00,Reg Size,Non-Denim - Long,2023,SP,LEE,Mens Apparel,Lee Tier II,Straight Fit,5-Pocket Pant,Mens Regular,001
2025,01,112318590,Luke Slim Taper,MID_ALTON,9089,MOW,127,127,127,0,https://giscdn.kontoorbrands.com/112318590_FF01_RWFB_PRD.jpg,Luke Slim Taper,,denim,8.50,$13.00,14.41,7.00,Reg Size,Non-Denim - Long,2022,SP,LEE,Mens Apparel,Lee Tier III,Slim Fit,5-Pocket Pant,Mens Regular,001
2025,01,112340512,Slim Straight Jean,MASON,9089,MOW,328,328,328,0,https://giscdn.kontoorbrands.com/112340512_FF01_RGFF_PRD.jpg,Slim Straight Jean,,,9.25,$14.00,22.37,8.50,Reg Size,Denim - Long,2023,FA,LEE,Mens Apparel,Lee Tier III,Slim Fit,Fashion Jean,Mens Regular,001
2025,01,112340514,Slim Straight Jean,NORTH,9089,MOW,938,938,938,0,https://giscdn.kontoorbrands.com/112340514_FF01_RGFF_PRD.jpg,Slim Straight Jean,,,9.25,$14.00,23.28,8.50,Reg Size,Denim - Long,2023,FA,LEE,Mens Apparel,Lee Tier III,Slim Fit,Fashion Jean,Mens Regular,001
2025,01,112322239,Slim Straight Jean,RYDER,9089,MOW,178,178,178,0,https://giscdn.kontoorbrands.com/112322239_BD01_RGBD_PRD.jpg,Slim Straight Jean,,,9.25,$14.00,13.51,8.50,Reg Size,Denim - Long,2022,FA,LEE,Mens Apparel,Lee Tier III,Slim Fit,Fashion Jean,Mens Regular,001
2025,01,112340515,Regular Straight Jean,PAINT_SPLATTER,9089,MOW,868,500,0,500,https://giscdn.kontoorbrands.com/112340515_FF01_RGFF_PRD.jpg,Regular Straight Jean,,,9.25,$14.00,16.11,8.50,Reg Size,Denim - Long,2023,FA,LEE,Mens Apparel,Lee Tier III,Regular Fit,Fashion Jean,Mens Regular,001
2025,01,112339211,EM Athletic Jean,ELLOS,9089,MOW,283,1,283,0,https://giscdn.kontoorbrands.com/112339211_BF01_RGBB_PRD.jpg,EM Athletic Jean,,sizes,9.25,$14.00,11.88,8.50,Reg Size,Denim - Long,2023,FA,LEE,Mens Apparel,Lee Tier IV,Athletic Fit,5-Pocket Jean,Mens Regular,001
2025,01,112339210,EM Athletic Jean ,MAVERICK,9089,MOW,159,159,0,159,https://giscdn.kontoorbrands.com/112339210_BF01_RGBB_PRD.jpg,EM Athletic Jean ,NY,,9.25,$14.00,10.67,8.50,Reg Size,Denim - Long,2023,FA,LEE,Mens Apparel,Lee Tier IV,Athletic Fit,5-Pocket Jean,Mens Regular,001
2025,01,102015274,X-TREME MOTION ATHLETIC TAPER,WIPEOUT,9089,MOW,903,903,903,0,https://giscdn.kontoorbrands.com/2015274_BF01_RGBS_PRD.jpg,EM Athletic Jean ,NY,,9.25,$14.00,12.21,8.50,Reg Size,Denim - Long,2020,FA,LEE,Mens Apparel,Lee Tier IV,Athletic Fit,5-Pocket Jean,Mens Regular,001
